id,funding_round_id,funded_object_id,investor_object_id,,
703,439,c:548,f:130,,
704,441,c:550,f:249,,
705,442,c:551,f:25,,
706,442,c:551,f:443,,
707,442,c:551,f:1287,,
708,443,c:551,f:25,,
709,443,c:551,f:443,,
710,443,c:551,f:1287,,
711,444,c:549,f:285,,
712,444,c:549,f:284,,
713,444,c:549,f:519,,
714,445,c:549,f:285,,
715,445,c:549,f:284,,
716,447,c:553,f:4,,
717,447,c:553,f:278,,
718,447,c:553,f:287,,
719,448,c:554,f:289,,
720,448,c:554,f:154,,
721,448,c:554,f:288,,
722,449,c:554,f:154,,
723,449,c:554,f:272,,
724,449,c:554,f:17,,
725,450,c:508,f:17,,
726,453,c:508,f:257,,
727,454,c:509,f:258,,
728,455,c:510,f:83,,
729,455,c:510,f:6855,,
730,456,c:510,f:83,,
731,457,c:1267,f:259,,
732,457,c:1267,f:260,,
733,458,c:487,f:133,,
734,458,c:487,f:80,,
735,459,c:488,f:569,,
736,459,c:488,f:26,,
737,459,c:488,f:733,,
738,460,c:488,f:26,,
739,460,c:488,f:81,,
740,460,c:488,f:569,,
741,461,c:489,f:130,,
742,462,c:490,f:47,,
743,463,c:482,f:256,,
744,464,c:483,f:2060,,
745,465,c:484,f:254,,
746,465,c:484,f:255,,
747,466,c:481,f:48,,
748,466,c:481,f:42,,
749,466,c:481,f:195,,
750,467,c:481,f:48,,
751,467,c:481,f:42,,
752,467,c:481,f:195,,
753,467,c:481,f:105,,
754,470,c:555,f:608,,
755,471,c:558,f:291,,
756,473,c:555,f:215,,
757,473,c:555,f:86,,
758,474,c:565,f:12,,
759,476,c:565,f:12,,
760,476,c:565,f:298,,
761,476,c:565,f:301,,
762,477,c:565,f:292,,
763,477,c:565,f:12,,
764,477,c:565,f:295,,
765,477,c:565,f:296,,
766,477,c:565,f:298,,
767,478,c:565,f:292,,
768,478,c:565,f:12,,
769,478,c:565,f:215,,
770,478,c:565,f:7,,
771,478,c:565,f:293,,
772,478,c:565,f:294,,
773,478,c:565,f:243,,
774,479,c:565,f:292,,
775,479,c:565,f:12,,
776,479,c:565,f:215,,
777,479,c:565,f:295,,
778,479,c:565,f:243,,
779,480,c:38,f:26,,
780,480,c:38,f:1770,,
781,480,c:38,f:3276,,
782,480,c:38,f:9018,,
783,481,c:246,f:29,,
784,483,c:577,f:227,,
785,484,c:578,f:36,,
786,485,c:578,f:303,,
787,485,c:578,f:305,,
788,485,c:578,f:306,,
789,486,c:44734,f:307,,
790,487,c:586,f:235,,
791,488,c:586,f:235,,
792,490,c:598,f:192,,
793,490,c:598,f:517,,
794,490,c:598,f:927,,
795,490,c:598,f:284,,
796,491,c:598,f:517,,
797,491,c:598,f:192,,
798,491,c:598,f:927,,
799,491,c:598,f:284,,
800,492,c:600,f:26,,
801,492,c:600,f:17,,
802,492,c:600,f:519,,
803,493,c:600,f:17,,
804,494,c:601,f:242,,
805,494,c:601,f:257,,
806,495,c:601,f:48,,
